,品牌,名稱,型號,硬碟類型,尺寸,容量(GB),價格
146,,MSI 微星 M470PRO 1TB/Gen4/讀:6000M/寫:4500M/QLC顆粒【五年保】,M470PRO,SSD,,1024,1990
147,,MSI 微星 M470PRO 2TB/Gen4/讀:6000M/寫:5000M/QLC顆粒~登錄可兌換遊戲序號~,M470PRO,SSD,,2048,3590
148,,MSI 微星 M480PRO 1TB/Gen4/讀:7400M/寫:6000M/3D TLC顆粒【五年保】DRAM快取,M480PRO,SSD,,1024,2690
149,,MSI 微星 M480PRO 2TB/Gen4/讀:7400M/寫:7000M/3D TLC顆粒~登錄可兌換遊戲序號~,M480PRO,SSD,,2048,4290
150,,MSI 微星 M480PRO 4TB/Gen4/讀:7400M/寫:7000M/3D TLC顆粒~登錄可兌換遊戲序號~,M480PRO,SSD,,4096,9790
151,,MSI 微星 M480PRO HS散熱片 2TB/Gen4/讀:7400M/寫:6000M/3D TLC/五年/DRAM快取,M480PRO,SSD,,2048,5690
152,WD,WD 藍標 SN5000 500GB/Gen4 PCIe 4.0/讀:5000/寫:4000/TLC【五年保】,SN5000,SSD,,500,1230
153,WD,WD 藍標 SN5000 1TB/Gen4 PCIe 4.0/讀:5150/寫:4900/TLC【五年保】,SN5000,SSD,,1024,1880
154,WD,WD 藍標 SN5000 2TB/Gen4 PCIe 4.0/讀:5150/寫:4850/TLC【五年保】,SN5000,SSD,,2048,3800
155,WD,WD 黑標 SN7100 500GB/Gen4 PCIe 4.0/讀:6800/寫:5800/TLC【五年保】,SN7100,SSD,,500,1690
156,WD,WD 黑標 SN7100 1TB/Gen4 PCIe 4.0/讀:7250/寫:6900/TLC【五年保】,SN7100,SSD,,1024,2390
157,WD,WD 黑標 SN7100 2TB/Gen4 PCIe 4.0/讀:7250/寫:6900/TLC【五年保】,SN7100,SSD,,2048,4090
158,WD,WD 黑標 SN850X 1TB/Gen4 PCIe 4.0/讀:7300/寫:6300/TLC/電競級【五年保】,SN850X,SSD,,1024,2800
159,WD,WD 黑標 SN850X 2TB/Gen4 PCIe 4.0/讀:7300/寫:6600/TLC/電競級【五年保】,SN850X,SSD,,2048,4990
160,WD,WD 黑標 SN850X 1TB/含散熱片/Gen4 PCIe 4.0/讀:7300/寫:6300/TLC【五年保】,SN850X,SSD,,1024,3300
161,WD,WD 黑標 SN850X 2TB/含散熱片/Gen4 PCIe 4.0/讀:7300/寫:6600/TLC【五年保】,SN850X,SSD,,2048,5450
162,金士頓,金士頓 NV3 500G/Gen4 PCIe 4.0/讀:5000/寫:3000【五年保】,500G,SSD,,,1220
163,金士頓,金士頓 NV3 1TB/Gen4 PCIe 4.0/讀:6000/寫:4000【五年保】,6000,SSD,,1024,1750
164,金士頓,金士頓 NV3 2TB/Gen4 PCIe 4.0/讀:6000/寫:5000【五年保】,6000,SSD,,2048,3380
165,金士頓,金士頓 KC3000 512G/Gen4 PCIe 4.0/讀:7000/寫:3900/TLC【五年保】,KC3000,SSD,,,1780
166,金士頓,金士頓 KC3000 1TB/Gen4 PCIe 4.0/讀:7000/寫:6000/TLC【五年保】,KC3000,SSD,,1024,2700
167,金士頓,金士頓 KC3000 2TB/Gen4 PCIe 4.0/讀:7000/寫:7000/TLC【五年保】,KC3000,SSD,,2048,4300
168,金士頓,金士頓 KC3000 4TB/Gen4 PCIe 4.0/讀:7000/寫:7000/TLC【五年保】,KC3000,SSD,,4096,8988
169,金士頓,金士頓 FURY Renegade 500G/Gen4 PCIe 4.0/讀:7300/寫:3900/TLC【五年保】,FURY,SSD,,,1800
170,金士頓,金士頓 FURY Renegade 1TB/Gen4 PCIe 4.0/讀:7300/寫:6000/TLC【五年保】,FURY,SSD,,1024,2888
171,金士頓,金士頓 FURY Renegade 2TB/Gen4 PCIe 4.0/讀:7300/寫:7000/TLC【五年保】,FURY,SSD,,2048,4650
172,金士頓,金士頓 FURY Renegade 4TB/Gen4 PCIe 4.0/讀:7300/寫:7000/TLC【五年保】,FURY,SSD,,4096,9288
173,美光,美光Micron E100 480G/Gen4 PCIe 4.0/讀:4700M/寫:2600M/QLC顆粒【三年保】,E100,SSD,,,999
174,美光,美光Micron E100 1TB/Gen4 PCIe 4.0/讀:5000M/寫:4500M/QLC顆粒/【三年保】,E100,SSD,,1024,1570
175,美光,美光Micron Crucial P3 Plus 500G/Gen4 PCIe 4.0/讀:4700M/寫:1900M/QLC顆粒/五年,500G,SSD,,,1150
176,美光,美光Micron Crucial P3 Plus 1TB/Gen4 PCIe 4.0/讀:5000M/寫:3600M/QLC顆粒/五年,5000M,SSD,,1024,1750
177,美光,美光Micron Crucial P3 Plus 2TB/Gen4 PCIe 4.0/讀:5000M/寫:4200M/QLC顆粒/五年,5000M,SSD,,2048,3750
