,品牌,名稱,型號,硬碟類型,尺寸,容量(GB),價格
199,三星,三星 Samsung 990 PRO 2TB含散熱片/Gen4/讀:7450/寫:6900/TLC/五年保*星睿奇,7450,SSD,,2048,5888
200,三星,三星 Samsung 990 PRO 4TB含散熱片/Gen4/讀:7450/寫:6900/TLC/五年保*星睿奇,7450,SSD,,4096,13499
201,,KLEVV CRAS C710 256G/Gen3/讀:1950M/寫:1250M/TLC,KLEVV,SSD,,,660
202,威剛,威剛 ADATA LEGEND 710 256G/Gen3/讀:2100M/寫:1000M/QLC顆粒/三年保/贈散熱片,ADATA,SSD,,,690
203,威剛,威剛 ADATA LEGEND 710 512G/Gen3/讀:2400M/寫:1000M/QLC顆粒/三年保/贈散熱片,ADATA,SSD,,,999
204,威剛,威剛 ADATA LEGEND 710 1TB/Gen3/讀:2400M/寫:1800M/QLC顆粒/三年保/贈散熱片,ADATA,SSD,,1024,1599
205,,佰維 BIWIN NV3500 512G,BIWIN,SSD,,,999
206,,技嘉 Gen3 2500E 1TB/讀:2400M/寫:1800M/QLC顆粒/三年保,2500E,SSD,,1024,1550
207,美光,美光Micron Crucial P3 500G/Gen3/讀:3500M/寫:1900M/3D QLC顆粒/五年,500G,SSD,,,1099
208,美光,美光Micron Crucial P3 1TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,3500M,SSD,,1024,1750
209,美光,美光Micron Crucial P3 2TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,3500M,SSD,,2048,3499
210,美光,美光Micron Crucial P3 4TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,3500M,SSD,,4096,7399
211,三星,三星 Samsung 970 EVO Plus 2TB/Gen3/讀:3500/寫:3300/TLC/五年保*星睿奇,3500,SSD,,2048,4999
212,三星,三星 Samsung 980 500G/Gen3/讀:3500/寫:2600/TLC/五年保*星睿奇,500G,SSD,,,1888
213,三星,三星 Samsung 980 1TB/Gen3/讀:3500/寫:3000/TLC/五年保,3500,SSD,,1024,2899
