id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2102,Radeon R9 Fury X,9439,266,NA,NA
2103,Radeon R9 M265X,1152,1166,NA,NA
2104,Radeon R9 M270X,1204,1142,NA,NA
2105,Radeon R9 M275,1114,1176,1.59,$699.99*
2106,Radeon R9 M275X,1699,966,NA,NA
2107,Radeon R9 M275X / M375,1574,1018,NA,NA
2108,Radeon R9 M280X,813,1374,NA,NA
2109,Radeon R9 M290X,3217,624,NA,NA
2110,Radeon R9 M295X,5150,449,3.55,"$1,449.00*"
2111,Radeon R9 M360,1845,918,NA,NA
2112,Radeon R9 M365X,1481,1055,NA,NA
2113,Radeon R9 M370X,1550,1023,1.74,$889.00*
2114,Radeon R9 M375,973,1257,NA,NA
2115,Radeon R9 M375X,1715,958,NA,NA
2116,Radeon R9 M380,2773,683,NA,NA
2117,Radeon R9 M385,2060,840,NA,NA
2118,Radeon R9 M385X,1993,864,NA,NA
2119,Radeon R9 M390X,3850,555,NA,NA
2120,Radeon R9 M395,4915,472,NA,NA
2121,Radeon R9 M395X,4945,469,NA,NA
2122,Radeon R9 M470,2330,765,NA,NA
2123,Radeon R9 M470X,3244,622,NA,NA
2124,Radeon R9 M485X,3660,575,NA,NA
2125,Radeon RX 460,4094,535,24.54,$166.81*
2126,Radeon RX 470/570,7958,309,20.46,$388.99*
2127,Radeon RX 480,8571,289,25.21,$339.99*
2128,Radeon RX 5300,7587,327,NA,NA
2129,Radeon RX 5300M,4723,490,NA,NA
2130,Radeon RX 540,2013,853,NA,NA
2131,Radeon RX 550,2689,697,15.82,$169.99
2132,Radeon RX 5500,8780,284,NA,NA
2133,Radeon RX 5500 XT,9091,275,50.15,$181.29*
2134,Radeon RX 5500M,5796,396,NA,NA
2135,Radeon RX 550X,2357,760,NA,NA
2136,Radeon RX 560,3659,577,17.82,$205.32
2137,Radeon RX 5600,11725,212,NA,NA
2138,Radeon RX 5600 OEM,12842,185,NA,NA
2139,Radeon RX 5600 XT,13478,167,24.73,$545.00*
2140,Radeon RX 5600M,8861,282,NA,NA
2141,Radeon RX 560X,3168,632,NA,NA
2142,Radeon RX 5700,14335,149,46.24,$309.99*
