id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
0,256MB DDR Radeon 9800 XT,37,2434,NA,NA
1,6FDF:FF,9528,261,NA,NA
2,7900 MOD - Radeon HD 6520G,610,1585,NA,NA
3,7900 MOD - Radeon HD 6550D,892,1313,NA,NA
4,A10-12Q,9493,262,NA,NA
5,A10-8Q,7038,342,NA,NA
6,A16,5280,436,NA,NA
7,A16-1Q,3275,617,NA,NA
8,A16-2B,2317,769,NA,NA
9,A16-2Q,4747,487,NA,NA
10,A16-4Q,4493,509,NA,NA
11,A40-24Q,3317,612,NA,NA
12,A40-48Q,10436,239,NA,NA
13,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2008,NA,NA
14,ABIT Siluro T400,3,2629,NA,NA
15,ALL-IN-WONDER 9000,4,2596,NA,NA
16,ALL-IN-WONDER 9800,23,2502,NA,NA
17,ALL-IN-WONDER RADEON 8500DV,5,2582,NA,NA
18,All-in-Wonder X1800XL,30,2474,NA,NA
19,All-in-Wonder X1900,127,2157,NA,NA
20,ALL-IN-WONDER X800 GT,84,2278,NA,NA
21,AMD Ryzen Z1 Extreme,6514,362,NA,NA
22,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2654,NA,NA
23,ASUS A7000,9,2542,NA,NA
24,ASUS AGP-V3800PRO v31.40H,4,2615,NA,NA
25,ASUS EAH4870x2,496,1735,NA,NA
26,Asus GTX 650 FML II EC-EGPU,720,1461,NA,NA
27,ASUS V9520-X V62.11,7,2553,NA,NA
28,B8DKMDAP,4557,500,NA,NA
29,Barco MXRT 1450,205,2028,NA,NA
30,Barco MXRT 2600,900,1309,4.52,$199.00*
31,Barco MXRT 5400,1161,1163,5.72,$203.00*
32,Barco MXRT 5450,1079,1195,5.40,$199.99*
33,Barco MXRT 5500,2701,695,9.04,$299.00*
34,Barco MXRT 5600,2465,736,3.50,$704.00*
35,Barco MXRT 7100,180,2051,NA,NA
36,Barco MXRT 7400,900,1307,9.10,$99.00*
37,Barco MXRT 7500,3753,564,12.55,$299.00*
38,Barco MXRT 7600,4943,470,8.20,$602.59*
39,BASICDISPLAY,69,2320,NA,NA
40,Beijing Fantasy Technology Fantasy II-M,259,1964,NA,NA
41,CARRIZO 9874,226,1996,NA,NA
42,Citrix Indirect Display Adapter,1888,902,NA,NA
43,CMP 30HX,6806,350,NA,NA
44,CMP 40HX,9136,273,NA,NA
45,CONNECT 3D RADEON X300,36,2440,NA,NA
46,Custom GPU 0405,2921,664,NA,NA
47,Custom GPU 0932,3249,619,NA,NA
48,Dell 8100,2,2679,0.00,$999.11*
49,Dell 8200,4,2617,NA,NA
50,Diamond X1300-PCIE 256MB,70,2319,NA,NA
51,EAH5450,134,2140,1.22,$109.99*
52,EIZO Quadro MED-XN51LP,4951,468,NA,NA
53,Embedded Radeon E9173,1773,941,NA,NA
54,Eng Sample: 100-000000560-40_Y,5655,403,NA,NA
55,Eng Sample: 100-000000561-40_Y,4206,531,NA,NA
56,Extreme AX850 PRO,120,2179,NA,NA
57,FireGL T2-128,30,2471,NA,NA
58,FireGL V3100,52,2366,NA,NA
59,FireGL V3200,84,2275,NA,NA
60,FireGL V3300,70,2317,NA,NA
61,FireGL V3350,68,2325,NA,NA
62,FireGL V3400,103,2228,NA,NA
63,FireGL V3600,179,2052,1.12,$160.99*
64,FireGL V5100,92,2259,0.81,$114.96*
65,FireGL V5200,114,2196,0.86,$133.40*
66,FireGL V5600,341,1883,1.52,$225.00*
67,FireGL V7100,71,2311,0.22,$328.67*
68,FireGL V7200,116,2190,NA,NA
69,FireGL V7300,128,2153,0.11,"$1,189.99*"
70,FireGL V7350,110,2207,0.93,$119.42*
71,FireGL V7600,615,1576,NA,NA
72,FireGL V7700,660,1517,9.43,$69.99*
73,FireGL V8600,838,1346,NA,NA
74,FireGL V8650,550,1666,1.84,$298.99*
75,FireGL X1,59,2354,NA,NA
76,FireMV 2200 PCI,1,2696,NA,NA
77,FireMV 2200 PCIe,36,2442,0.40,$89.99*
78,FireMV 2250,45,2396,0.44,$104.00*
79,FireMV 2260,117,2185,1.33,$88.08*
80,FireMV 2400 PCIe,11,2534,NA,NA
81,FireMV 2450,73,2305,NA,NA
82,FirePro 2260,112,2200,NA,NA
83,FirePro 2270,142,2114,1.06,$134.00*
84,FirePro 2450,51,2376,0.57,$89.99*
85,FirePro 2460,170,2067,2.03,$83.99*
86,FirePro 3D V3700,178,2055,2.10,$84.99*
87,FirePro 3D V3750,341,1881,6.71,$50.88*
88,FirePro 3D V3800,472,1765,3.15,$149.99*
89,FirePro 3D V4800,853,1335,5.33,$159.99*
90,FirePro 3D V5700,546,1672,1.71,$319.99*
91,FirePro 3D V5800,1231,1131,6.04,$204.00*
92,FirePro 3D V7750,545,1676,1.56,$350.00*
93,FirePro 3D V7800,1867,910,3.11,$599.99*
94,FirePro 3D V8700,1206,1139,7.09,$170.07*
95,FirePro 3D V8750,1271,1115,1.03,"$1,230.99*"
96,FirePro 3D V8800,2437,738,5.74,$424.99*
97,FirePro 3D V9800,2811,676,1.13,"$2,499.00*"
98,FirePro M2000,425,1812,NA,NA
99,FirePro M4000,1595,1010,21.91,$72.83*
100,FirePro M4000 Mobility Pro,1629,993,NA,NA
101,FirePro M40003,1364,1086,NA,NA
102,Firepro M4100,1059,1207,NA,NA
103,FirePro M4150,1003,1235,NA,NA
104,FirePro M4170,1188,1149,NA,NA
105,FirePro M5100,2102,830,NA,NA
106,FirePro M5100 FireGL V,1839,920,NA,NA
107,FirePro M5950,1314,1100,NA,NA
108,FirePro M6000,1820,927,5.58,$325.99*
109,FirePro M6000 Mobility Pro,1712,961,NA,NA
110,FirePro M6100,2374,753,NA,NA
111,FirePro M6100 FireGL V,2875,669,NA,NA
112,FirePro M7740,665,1513,NA,NA
113,FirePro R5000,2646,703,24.06,$109.99*
114,FirePro RG220,335,1889,0.52,$650.18*
115,FirePro S10000,4768,484,NA,NA
116,FirePro S7000,4523,503,18.35,$246.54*
117,FirePro S7150,3770,561,2.22,"$1,697.99*"
118,FirePro S9000,5059,458,NA,NA
119,FirePro S9050,4901,474,NA,NA
120,FirePro V3800,320,1905,2.57,$124.99*
121,FirePro V3900,637,1545,2.67,$238.44*
122,FirePro V4900,1005,1234,6.70,$149.99*
123,FirePro V5700,464,1775,2.47,$188.06*
124,FirePro V5800,1180,1151,22.27,$53.00*
125,FirePro V5900,1232,1130,14.33,$86.00*
126,FirePro V7000,3161,635,NA,NA
127,FirePro V7800,2028,851,10.68,$190.00*
128,FirePro V7900,2260,787,11.90,$190.00*
129,FirePro V8700,1538,1031,9.75,$157.88*
130,FirePro V8800,2280,779,11.52,$198.00*
131,FirePro V9800,2726,692,5.75,$474.00*
132,FirePro W2100,852,1338,14.45,$59.00*
133,FirePro W4100,1505,1041,8.18,$184.00*
134,FirePro W4170M,1065,1203,NA,NA
135,Firepro W4190M,1166,1156,NA,NA
136,FirePro W4300,2749,688,11.46,$239.99*
137,FirePro W5000,2955,660,16.06,$184.00*
138,FirePro W5100,2979,656,23.65,$125.99*
139,FirePro W5130M,1343,1093,NA,NA
140,Firepro W5170M,1822,926,NA,NA
141,FirePro W600,1685,976,4.06,$414.99*
142,FirePro W6150M,2358,759,NA,NA
143,FirePro W7000,4255,530,15.30,$278.05*
144,FirePro W7000 Adapter,4359,522,NA,NA
145,FirePro W7100,5191,444,13.33,$389.30*
146,FirePro W7170M,3161,636,NA,NA
147,FirePro W8000,4259,529,7.43,$573.00*
148,FirePro W8100,6671,359,9.48,$704.00*
149,FirePro W9000,6157,379,7.29,$845.00*
150,FirePro W9100,7747,319,4.48,"$1,729.99*"
151,FireStream 9170,647,1535,NA,NA
152,FireStream 9250,1164,1158,NA,NA
153,FireStream 9270,1341,1094,NA,NA
154,FireStream 9370,2528,726,NA,NA
155,GeCube RADEON 7000,8,2544,NA,NA
156,GeForce 205,126,2161,NA,NA
157,GeForce 210,128,2152,2.38,$54.15*
158,GeForce 240M GT,319,1909,NA,NA
159,GeForce 256,5,2592,0.12,$42.04*
160,GeForce 305M,150,2093,NA,NA
161,GeForce 310,143,2112,1.32,$108.35*
162,GeForce 310M,126,2162,NA,NA
163,GeForce 315,198,2036,6.02,$32.99*
164,GeForce 315M,114,2194,NA,NA
165,GeForce 320M,209,2021,NA,NA
166,GeForce 405,118,2184,4.79,$24.64*
167,GeForce 410M,269,1952,NA,NA
168,GeForce 505,143,2109,1.25,$115.06*
169,GeForce 510,290,1930,4.15,$69.99*
170,GeForce 605,321,1904,2.35,$136.83*
171,GeForce 6100,27,2481,NA,NA
172,GeForce 6100 nForce 400,25,2492,NA,NA
173,GeForce 6100 nForce 405,26,2483,NA,NA
174,GeForce 6100 nForce 420,25,2491,NA,NA
175,GeForce 6100 nForce 430,23,2504,NA,NA
176,GeForce 610M,292,1927,NA,NA
177,GeForce 615,507,1723,NA,NA
178,GeForce 6150,21,2507,0.07,$329.00*
179,GeForce 6150 LE,33,2458,NA,NA
180,GeForce 6150SE,24,2495,NA,NA
181,GeForce 6150SE nForce 430,30,2472,NA,NA
182,GeForce 6200,37,2436,0.71,$53.17*
183,GeForce 6200 A-LE,32,2467,NA,NA
184,GeForce 6200 LE,32,2464,0.80,$41.24*
185,GeForce 6200 TurboCache,51,2371,NA,NA
186,GeForce 6200A,3,2637,0.07,$54.99*
187,GeForce 6200SE TurboCache,37,2438,NA,NA
188,GeForce 6500,38,2430,NA,NA
189,GeForce 6600,86,2272,0.33,$264.00*
190,GeForce 6600 GT,142,2113,2.20,$64.95*
191,GeForce 6600 LE,51,2374,NA,NA
192,GeForce 6610 XL,88,2269,NA,NA
193,GeForce 6700 XL,95,2250,NA,NA
194,GeForce 6800,112,2201,0.20,$559.29*
195,GeForce 6800 GS,191,2045,NA,NA
196,GeForce 6800 GS/XT,102,2230,NA,NA
197,GeForce 6800 GT,142,2115,NA,NA
198,GeForce 6800 LE,109,2211,NA,NA
199,GeForce 6800 Ultra,138,2127,NA,NA
200,GeForce 6800 XE,58,2355,NA,NA
201,GeForce 6800 XT,120,2175,NA,NA
202,GeForce 7000M,13,2528,NA,NA
203,GeForce 7000M / nForce 610M,12,2529,NA,NA
204,GeForce 7025 / nForce 630a,33,2461,NA,NA
205,GeForce 7050 / nForce 610i,25,2489,NA,NA
206,GeForce 7050 / nForce 620i,41,2413,NA,NA
207,GeForce 7050 / nForce 630i,37,2433,NA,NA
208,GeForce 7050 PV / nForce 630a,31,2469,NA,NA
209,GeForce 705M,455,1783,NA,NA
210,GeForce 7100 / nForce 620i,26,2486,NA,NA
211,GeForce 7100 / nForce 630i,41,2411,NA,NA
212,GeForce 7100 GS,51,2375,NA,NA
213,GeForce 710A,472,1766,NA,NA
214,GeForce 710M,452,1791,NA,NA
215,GeForce 7150 / nForce 630i,33,2462,NA,NA
216,GeForce 7150M / nForce 630M,18,2515,NA,NA
217,GeForce 7200 GS,23,2503,NA,NA
218,GeForce 720A,577,1627,NA,NA
219,GeForce 7300 GS,78,2298,NA,NA
220,GeForce 7300 GT,121,2172,0.81,$149.99*
221,GeForce 7300 LE,80,2295,2.50,$32.00*
222,GeForce 7300 SE,39,2428,NA,NA
223,GeForce 7300 SE/7200 GS,48,2387,NA,NA
224,GeForce 730A,770,1413,NA,NA
225,GeForce 7350 LE,74,2304,NA,NA
226,GeForce 7500 LE,84,2274,NA,NA
227,GeForce 7600 GS,158,2085,1.31,$120.70
228,GeForce 7600 GT,237,1985,1.19,$199.00*
229,GeForce 7650 GS,134,2142,NA,NA
230,GeForce 770M,3245,620,18.34,$176.99*
231,GeForce 7800 GS,177,2057,NA,NA
232,GeForce 7800 GT,244,1981,3.05,$80.00*
233,GeForce 7800 GTX,290,1929,4.06,$71.60*
234,GeForce 7900 GS,253,1971,NA,NA
235,GeForce 7900 GT,258,1966,1.30,$199.00*
236,GeForce 7900 GT/GTO,247,1978,NA,NA
237,GeForce 7900 GTX,387,1842,NA,NA
238,GeForce 7950 GT,346,1878,1.36,$254.80*
239,GeForce 7950 GX2,201,2031,3.67,$54.99*
240,GeForce 7950 Xtreme,287,1933,NA,NA
241,GeForce 800A,476,1758,NA,NA
242,GeForce 800M,477,1756,NA,NA
243,GeForce 8100 / nForce 720a,79,2297,NA,NA
244,GeForce 810A,655,1522,NA,NA
245,GeForce 810M,419,1817,NA,NA
246,GeForce 8200,163,2082,NA,NA
247,GeForce 8200M G,65,2338,NA,NA
248,GeForce 820A,555,1657,NA,NA
249,GeForce 820M,488,1741,NA,NA
250,GeForce 825M,770,1411,NA,NA
251,GeForce 8300,101,2234,4.48,$22.68*
252,GeForce 8300 GS,115,2192,NA,NA
253,GeForce 830A,1156,1165,NA,NA
254,GeForce 830M,1009,1231,NA,NA
255,GeForce 8400,81,2290,0.14,$589.99*
256,GeForce 8400 GS,156,2087,1.82,$85.97*
257,GeForce 8400 SE,68,2326,NA,NA
258,GeForce 8400M G,105,2221,NA,NA
259,GeForce 8400M GS,100,2237,1.29,$78.20*
260,GeForce 8400M GT,66,2334,NA,NA
261,GeForce 840A,1123,1174,NA,NA
262,GeForce 840M,1097,1184,NA,NA
263,GeForce 845M,1488,1051,NA,NA
264,GeForce 8500 GT,155,2089,NA,NA
265,GeForce 8600 GS,91,2262,NA,NA
266,GeForce 8600 GT,131,2145,0.67,$196.00*
267,GeForce 8600 GTS,169,2068,0.70,$241.99*
268,GeForce 8600M GS,88,2270,NA,NA
269,GeForce 8600M GT,156,2086,1.45,$108.10*
270,GeForce 8700M GT,124,2164,NA,NA
271,GeForce 8800 GS,330,1895,NA,NA
272,GeForce 8800 GT,462,1779,2.17,$213.54*
273,GeForce 8800 GTS,407,1828,5.09,$79.99*
274,GeForce 8800 GTS 512,549,1668,NA,NA
275,GeForce 8800 GTX,572,1639,4.77,$119.99*
276,GeForce 8800 Ultra,642,1542,0.93,$689.02
277,GeForce 8800M GTS,382,1843,NA,NA
278,GeForce 8800M GTX,462,1780,NA,NA
279,GeForce 9100,81,2285,NA,NA
280,GeForce 9100M G,68,2327,NA,NA
281,GeForce 910M,595,1600,NA,NA
282,GeForce 9200,169,2071,NA,NA
283,GeForce 9200M GE,143,2110,NA,NA
284,GeForce 9200M GS,129,2150,NA,NA
285,GeForce 920A,833,1352,NA,NA
286,GeForce 920M,716,1467,NA,NA
287,GeForce 920MX,1067,1201,NA,NA
288,GeForce 9300,126,2158,2.15,$59.00*
289,GeForce 9300 / nForce 730i,128,2151,NA,NA
290,GeForce 9300 GE,95,2251,4.13,$22.99*
291,GeForce 9300 GS,102,2231,1.71,$59.95*
292,GeForce 9300 SE,81,2289,NA,NA
293,GeForce 9300GE,97,2245,1.01,$97.20*
294,GeForce 9300M G,84,2277,NA,NA
295,GeForce 9300M GS,118,2183,2.73,$43.42*
296,GeForce 930A,1263,1116,NA,NA
297,GeForce 930M,1011,1229,NA,NA
298,GeForce 930MX,1286,1110,NA,NA
299,GeForce 9400,143,2111,NA,NA
300,GeForce 9400 GT,168,2073,2.55,$66.25*
301,GeForce 9400M,101,2235,NA,NA
302,GeForce 9400M G,67,2330,NA,NA
303,GeForce 940A,1106,1180,NA,NA
304,GeForce 940M,1129,1172,NA,NA
305,GeForce 940MX,1513,1039,NA,NA
306,GeForce 9450,104,2222,NA,NA
307,GeForce 945A,1852,915,NA,NA
308,GeForce 945M,2108,828,NA,NA
309,GeForce 9500 GS,215,2013,NA,NA
310,GeForce 9500 GT,177,2058,2.06,$85.99*
311,GeForce 9500M,103,2227,1.02,$101.20*
312,GeForce 9500M G,121,2173,NA,NA
313,GeForce 9500M GS,134,2141,NA,NA
314,GeForce 9600 GS,281,1941,NA,NA
315,GeForce 9600 GSO,323,1903,3.01,$107.39*
316,GeForce 9600 GSO 512,329,1896,NA,NA
317,GeForce 9600 GT,477,1753,7.35,$64.99*
318,GeForce 9600M GS,130,2146,NA,NA
319,GeForce 9600M GT,149,2096,1.91,$78.20*
320,GeForce 9600M GT / GeForce GT 220M,293,1926,NA,NA
321,GeForce 9650M GS,270,1950,NA,NA
322,GeForce 9650M GT,137,2130,1.17,$117.30*
323,GeForce 9700M GT,208,2024,NA,NA
324,GeForce 9700M GTS,278,1943,NA,NA
325,GeForce 9800 GT,453,1787,2.67,$169.54
326,GeForce 9800 GT 1024MB,134,2139,NA,NA
327,GeForce 9800 GTX,769,1416,10.26,$74.99*
328,GeForce 9800 GTX+,494,1737,NA,NA
329,GeForce 9800 GTX/9800 GTX+,593,1602,6.60,$89.99*
330,GeForce 9800 GX2,612,1581,3.14,$195.00*
331,GeForce 9800 S,635,1550,NA,NA
332,GeForce 9800M GS,534,1687,NA,NA
333,GeForce 9800M GT,381,1846,NA,NA
334,GeForce 9800M GTS,356,1872,NA,NA
335,GeForce 9800M GTX,454,1784,1.38,$328.50*
336,GeForce 999 GTX,83,2281,NA,NA
337,GeForce FX 5100,7,2552,NA,NA
338,GeForce FX 5200,7,2555,0.06,$129.00*
339,GeForce FX 5200 Ultra,12,2532,NA,NA
340,GeForce FX 5200LE,7,2559,0.16,$42.99*
341,GeForce FX 5200SE,11,2533,NA,NA
342,GeForce FX 5500,8,2547,0.05,$153.97*
343,GeForce FX 5600,12,2530,NA,NA
344,GeForce FX 5600 Ultra,17,2521,NA,NA
345,GeForce FX 5600XT,9,2543,NA,NA
346,GeForce FX 5700,40,2415,NA,NA
347,GeForce FX 5700 Ultra,34,2452,NA,NA
348,GeForce FX 5700LE,24,2496,NA,NA
349,GeForce FX 5700VE,33,2460,NA,NA
350,GeForce FX 5900,34,2449,NA,NA
351,GeForce FX 5900 Ultra,41,2414,NA,NA
352,GeForce FX 5900XT,40,2420,NA,NA
353,GeForce FX 5900ZT,32,2465,NA,NA
354,GeForce FX 5950 Ultra,59,2353,NA,NA
355,GeForce FX Go 5200,8,2545,NA,NA
356,GeForce FX Go 5600,17,2519,NA,NA
357,GeForce FX Go5300,12,2531,NA,NA
358,GeForce FX Go5650,16,2522,NA,NA
359,GeForce FX Go5700,51,2373,NA,NA
360,GeForce G 103M,62,2346,NA,NA
361,GeForce G 105M,62,2343,NA,NA
362,GeForce G100,176,2059,8.83,$19.99*
363,GeForce G102M,167,2076,NA,NA
364,GeForce G105M,133,2143,NA,NA
365,GeForce G200,136,2133,NA,NA
366,GeForce G205M,91,2264,NA,NA
367,GeForce G210,124,2165,1.02,$122.12*
368,GeForce G210M,129,2149,NA,NA
369,GeForce Go 6100,17,2518,NA,NA
370,GeForce Go 6150,19,2511,NA,NA
371,GeForce Go 6200,15,2525,NA,NA
372,GeForce Go 6400,24,2497,NA,NA
373,GeForce Go 6600,69,2321,NA,NA
374,GeForce Go 6600 TE/6200 TE,44,2401,NA,NA
375,GeForce Go 6800,106,2219,NA,NA
376,GeForce Go 6800 Ultra,137,2129,NA,NA
377,GeForce Go 7200,45,2399,NA,NA
378,GeForce Go 7300,52,2369,NA,NA
379,GeForce Go 7400,65,2337,NA,NA
380,GeForce Go 7600,127,2155,NA,NA
381,GeForce Go 7600 GT,210,2020,NA,NA
382,GeForce Go 7700,147,2100,NA,NA
383,GeForce Go 7800,114,2195,NA,NA
384,GeForce Go 7800 GTX,209,2022,NA,NA
385,GeForce Go 7900 GS,177,2056,NA,NA
386,GeForce Go 7900 GTX,270,1949,NA,NA
387,GeForce Go 7950 GTX,263,1957,NA,NA
388,GeForce GPU,1161,1162,NA,NA
389,GeForce GT 1030,2428,741,20.83,$116.62
390,GeForce GT 120,165,2078,5.53,$29.99*
391,GeForce GT 120 / 9500 GT,324,1899,NA,NA
392,GeForce GT 120M,150,2092,NA,NA
393,GeForce GT 130,381,1847,2.52,$151.34*
394,GeForce GT 130M,145,2106,NA,NA
395,GeForce GT 140,657,1520,NA,NA
396,GeForce GT 220,221,2004,5.54,$39.99*
397,GeForce GT 220M,121,2171,NA,NA
398,GeForce GT 230,323,1902,7.35,$43.99*
399,GeForce GT 230M,215,2012,NA,NA
400,GeForce GT 240,500,1730,3.11,$160.97*
401,GeForce GT 240M,213,2016,NA,NA
402,GeForce GT 320,470,1768,14.38,$32.69*
403,GeForce GT 320M,106,2216,NA,NA
404,GeForce GT 325M,169,2069,NA,NA
405,GeForce GT 330,396,1837,9.92,$39.99*
406,GeForce GT 330M,220,2006,NA,NA
407,GeForce GT 335M,374,1855,NA,NA
408,GeForce GT 340,738,1446,13.93,$52.99*
409,GeForce GT 415,251,1972,NA,NA
410,GeForce GT 415M,286,1934,NA,NA
411,GeForce GT 420,425,1811,2.75,$155.00*
412,GeForce GT 420M,393,1839,NA,NA
413,GeForce GT 425M,514,1713,NA,NA
414,GeForce GT 430,602,1593,4.31,$139.99*
415,GeForce GT 435M,535,1686,NA,NA
416,GeForce GT 440,773,1405,3.44,$225.00*
417,GeForce GT 445M,811,1378,NA,NA
418,GeForce GT 520,320,1906,1.05,$304.00*
419,GeForce GT 520M,284,1935,9.50,$29.95*
420,GeForce GT 520MX,284,1936,NA,NA
421,GeForce GT 525M,453,1786,NA,NA
422,GeForce GT 530,666,1510,13.60,$49.00*
423,GeForce GT 540M,478,1750,5.44,$87.95*
424,GeForce GT 545,1109,1179,19.96,$55.59*
425,GeForce GT 550M,569,1642,NA,NA
426,GeForce GT 555M,653,1527,3.69,$177.20*
427,GeForce GT 610,324,1900,2.32,$139.99*
428,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368,1861,NA,NA
429,GeForce GT 620,382,1844,2.48,$154.00*
430,GeForce GT 620M,430,1809,NA,NA
431,GeForce GT 625,368,1862,NA,NA
432,GeForce GT 625M,484,1746,NA,NA
433,GeForce GT 630,683,1494,4.65,$147.01*
434,GeForce GT 630M,531,1693,NA,NA
435,GeForce GT 635,815,1373,12.18,$66.94*
436,GeForce GT 635M,550,1664,NA,NA
437,GeForce GT 640,1167,1155,10.61,$109.99*
438,GeForce GT 640M,930,1288,NA,NA
439,GeForce GT 640M LE,704,1477,0.83,$849.99*
440,GeForce GT 645,2005,857,NA,NA
441,GeForce GT 645M,939,1280,NA,NA
442,GeForce GT 650M,1199,1144,NA,NA
443,GeForce GT 705,350,1876,1.18,$296.76*
444,GeForce GT 710,622,1566,2.49,$249.99*
445,GeForce GT 710M,437,1804,NA,NA
446,GeForce GT 720,646,1537,6.46,$99.99*
447,GeForce GT 720A,573,1638,NA,NA
448,GeForce GT 720M,448,1795,NA,NA
449,GeForce GT 730,824,1361,8.13,$101.49*
450,GeForce GT 730A,742,1441,NA,NA
451,GeForce GT 730M,812,1375,NA,NA
452,GeForce GT 735M,654,1524,NA,NA
453,GeForce GT 740,1463,1059,6.18,$236.99*
454,GeForce GT 740A,667,1509,NA,NA
455,GeForce GT 740M,792,1392,NA,NA
456,GeForce GT 745A,1237,1125,NA,NA
457,GeForce GT 745M,1097,1185,NA,NA
458,GeForce GT 750M,1329,1097,NA,NA
459,GeForce GT 755M,1714,959,NA,NA
460,GeForce GT 820M,550,1665,NA,NA
461,GeForce GT625M,451,1793,NA,NA
462,GeForce GTS 150M,504,1728,NA,NA
463,GeForce GTS 160M,678,1499,NA,NA
464,GeForce GTS 240,549,1667,8.46,$64.99*
465,GeForce GTS 250,588,1609,6.84,$86.06*
466,GeForce GTS 250M,553,1660,NA,NA
467,GeForce GTS 350M,380,1849,NA,NA
468,GeForce GTS 360M,644,1539,NA,NA
469,GeForce GTS 450,1318,1098,9.83,$134.23*
470,GeForce GTX 1050,5030,462,21.05,$239.00*
471,GeForce GTX 1050 (Mobile),4462,512,NA,NA
472,GeForce GTX 1050 3GB,5118,452,NA,NA
473,GeForce GTX 1050 Ti,6341,369,13.46,$471.14
474,GeForce GTX 1050 Ti (Mobile),5917,392,NA,NA
475,GeForce GTX 1050 Ti with Max-Q Design,5306,434,NA,NA
476,GeForce GTX 1050 with Max-Q Design,4007,543,NA,NA
477,GeForce GTX 1060,10082,246,30.57,$329.80*
478,GeForce GTX 1060 (Mobile),8160,302,NA,NA
479,GeForce GTX 1060 3GB,9802,251,41.63,$235.47*
480,GeForce GTX 1060 5GB,9087,276,18.62,$487.99*
481,GeForce GTX 1060 with Max-Q Design,7855,313,NA,NA
482,GeForce GTX 1070,13499,166,27.22,$495.91
483,GeForce GTX 1070 (Mobile),10465,238,NA,NA
484,GeForce GTX 1070 Ti,14679,145,25.75,$569.99*
485,GeForce GTX 1070 with Max-Q Design,9853,248,NA,NA
486,GeForce GTX 1080,15585,125,35.20,$442.79*
487,GeForce GTX 1080 Ti,18600,88,38.45,$483.82*
488,GeForce GTX 1080 with Max-Q Design,11422,223,NA,NA
489,GeForce GTX 1630,4975,466,26.19,$189.99*
490,GeForce GTX 1650,7878,312,28.81,$273.45
491,GeForce GTX 1650 (Mobile),6968,346,NA,NA
492,GeForce GTX 1650 SUPER,10184,243,42.44,$239.99*
493,GeForce GTX 1650 Ti,7539,330,NA,NA
494,GeForce GTX 1650 Ti with Max-Q Design,6508,363,NA,NA
495,GeForce GTX 1650 with Max-Q Design,6237,373,NA,NA
496,GeForce GTX 1660,11660,216,34.31,$339.90*
497,GeForce GTX 1660 SUPER,12707,187,36.42,$348.90
498,GeForce GTX 1660 Ti,12908,182,29.68,$435.00
499,GeForce GTX 1660 Ti (Mobile),10146,244,NA,NA
500,GeForce GTX 1660 Ti with Max-Q Design,8590,288,NA,NA
501,GeForce GTX 260,1208,1138,4.23,$285.78*
502,GeForce GTX 260M,380,1848,NA,NA
503,GeForce GTX 275,1379,1081,3.20,$431.72*
504,GeForce GTX 280,1277,1113,2.44,$522.78*
505,GeForce GTX 280M,575,1632,NA,NA
506,GeForce GTX 285,1500,1046,12.51,$119.99*
507,GeForce GTX 285M,636,1549,NA,NA
508,GeForce GTX 295,1200,1143,7.51,$159.99*
509,GeForce GTX 460,2274,783,25.27,$89.99*
510,GeForce GTX 460 SE,1990,867,12.44,$159.99*
511,GeForce GTX 460 v2,1865,911,9.33,$199.99*
512,GeForce GTX 460M,1214,1135,NA,NA
513,GeForce GTX 465,2653,702,13.61,$195.00*
514,GeForce GTX 470,3140,639,52.35,$59.99*
515,GeForce GTX 470M,1953,883,NA,NA
516,GeForce GTX 480,4121,534,24.24,$169.99*
517,GeForce GTX 480M,1617,999,NA,NA
518,GeForce GTX 485M,2359,758,NA,NA
519,GeForce GTX 550 Ti,1560,1020,15.60,$99.99*
520,GeForce GTX 555,1603,1007,NA,NA
521,GeForce GTX 560,2770,684,13.52,$205.00*
522,GeForce GTX 560 SE,1847,916,20.53,$89.99*
523,GeForce GTX 560 Ti,3068,646,23.60,$129.99*
524,GeForce GTX 560M,1277,1114,NA,NA
525,GeForce GTX 570,3921,547,26.15,$149.99*
526,GeForce GTX 570M,1877,906,NA,NA
527,GeForce GTX 580,4633,496,9.48,$488.59*
528,GeForce GTX 580M,2074,836,8.34,$248.68*
529,GeForce GTX 590,3341,607,7.68,$435.00*
530,GeForce GTX 645,1880,905,NA,NA
531,GeForce GTX 650,1750,945,12.17,$143.80*
532,GeForce GTX 650 Ti,2527,727,27.17,$93.05*
533,GeForce GTX 650 Ti BOOST,3389,602,NA,NA
534,GeForce GTX 660,4024,541,23.96,$167.95*
535,GeForce GTX 660 Ti,4407,518,30.61,$144.00*
536,GeForce GTX 660M,1444,1060,18.29,$78.99*
537,GeForce GTX 670,5346,429,27.56,$193.98*
538,GeForce GTX 670M,1742,948,NA,NA
539,GeForce GTX 670MX,1971,874,NA,NA
540,GeForce GTX 675M,1925,890,NA,NA
541,GeForce GTX 675MX,2969,658,NA,NA
542,GeForce GTX 680,5601,408,14.04,$399.00*
543,GeForce GTX 680M,3277,616,24.10,$135.99*
544,GeForce GTX 680M KY_Bullet Edition,3568,584,NA,NA
545,GeForce GTX 680MX,3686,571,NA,NA
546,GeForce GTX 690,5500,419,19.57,$280.99*
