,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
213,,全漢 VITA GM 650W,VITA,650,ATX,2,2990
214,,全漢 VITA GM 750W,VITA,750,ATX,2,3390
215,,全漢 VITA GM 750W 白色版 雙8/金牌/全模/ATX3.1,VITA,750,ATX,2,3490
216,,全漢 VITA GM 850W,VITA,850,ATX,2,3890
217,,全漢 VITA GM 850W 白色版 雙8/金牌/全模/ATX3.1,VITA,850,ATX,2,3990
218,,全漢 VITA GM 1000W,VITA,1000,ATX,2,4790
219,,全漢 VITA GM 1000W 白色版 雙8/金牌/全模/ATX3.1,VITA,1000,ATX,2,4890
220,,全漢 CANNON PRO 2000W,CANNON,2000,ATX,2,14900
221,,全漢 CANNON PRO 2500W 雙8/白金/ATX3.1,CANNON,2500,ATX,0,26900
222,,XPG PROBE 600W 雙8/銅牌/短機身/3年保,XPG,600,ATX,0,1590
223,,XPG PROBE 700W 雙8/銅牌/短機身/3年保,XPG,700,ATX,0,1690
224,,XPG CORE PYLON 550W /銅牌/主日系/5年保/DC-DC,XPG,550,ATX,0,1690
225,,XPG CORE PYLON 650W 雙8/銅牌/主日系/5年保/DC-DC,XPG,650,ATX,0,1890
226,,XPG CORE PYLON 750W 雙8/銅牌/主日系/5年保/DC-DC,XPG,750,ATX,0,2090
227,,XPG KYBER 750W 雙8/金牌/直出線/ATX3.0,XPG,750,ATX,0,2590
228,,XPG KYBER 850W 雙8/金牌/直出線/ATX3.0,XPG,850,ATX,0,2990
229,,XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1,XPG,750,ATX,2,3190
230,,XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1,XPG,850,ATX,2,3490
231,,XPG CORE REACTOR II 750W 雙8/金牌/全模組/ATX3.0,XPG,750,ATX,2,3290
232,,XPG CORE REACTOR II 850W 雙8/金牌/全模組/ATX3.0,XPG,850,ATX,2,3690
233,,XPG CORE REACTOR II 850W 白色/雙8/金牌/全模組/ATX3.0,XPG,850,ATX,2,3990
234,,XPG CORE REACTOR II 1000W 雙8/金牌/全模組/ATX3.0,XPG,1000,ATX,2,4590
235,,XPG CORE REACTOR II 1200W 雙8/金牌/全模組/ATX3.0,XPG,1200,ATX,2,5590
236,,XPG CYBERCORE II 1000W 雙8/白金/全模組/ATX3.0,XPG,1000,ATX,2,6490
237,,XPG CYBERCORE II 1300W 雙8/白金/全模組/ATX3.0,XPG,1300,ATX,2,7490
238,,XPG FUSION 1600W 雙8/鈦金/全模組/ATX3.0,XPG,1600,ATX,2,19900
239,微星,微星 MAG A550BN 550W 銅牌/DC-DC/5年保,MAG,550,ATX,0,1790
240,微星,微星 MAG A650BN 650W 銅牌/DC-DC/5年保,MAG,650,ATX,0,1990
241,微星,微星 MAG A650BNL WHITE 650W,MAG,650,ATX,0,2090
242,微星,微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保,MAG,750,ATX,0,2290
243,微星,微星 MAG A650GL 650W 雙8/金牌/全模組/DC-DC/7年保,MAG,650,ATX,2,3090
244,微星,微星 MAG A750GL PCIE5 750W 雙8/金牌/全模組/ATX3.0/7年保▼下殺到 6/1 21:00,MAG,750,ATX,2,3290
245,微星,微星 MAG A850GL PCIE5 850W 雙8/金牌/全模組/ATX3.0/7年保▼下殺到 6/1 21:00,MAG,850,ATX,2,3690
246,微星,微星 MAG A850GL PCIE5 WHITE 850W,MAG,850,ATX,2,3790
247,微星,微星 MAG A1250GL PCIE5 1250W 雙8/金牌/全模組/ATX3.1/7年保▼下殺到 6/1 21:00,MAG,1250,ATX,2,6490
248,微星,微星 MPG A850G PCIE5 850W 雙8/金牌/全模組/ATX3.0/溫控風扇/全日系/10年保▼下殺到 6/1 21:00,MPG,850,ATX,2,4590
249,微星,微星 MPG A850GS PCIE5 850W 雙8/金牌/全模組/ATX3.1,MPG,850,ATX,2,4090
250,微星,微星 MPG A1000G PCIE5 1000W 雙8/金牌/全模組/ATX3.0/溫控風扇/全日系/10年保▼下殺到 6/1 21:00,MPG,1000,ATX,2,5290
251,微星,微星 MPG A1000GS PCIE5 1000W 雙8/金牌/全模組/ATX3.1,MPG,1000,ATX,2,5190
252,微星,微星 MPG A1250GS PCIE5 1250W 雙8/金牌/全模組/ATX3.1,MPG,1250,ATX,2,6290
253,,↪ 4/1~6/30 微星 MPG A1250GS PCIE5 1250W 電源,MPG,1250,ATX,0,
254,微星,微星 MEG Ai1300P PCIE5 1300W 雙8/白金/全模組/ATX3.0/軟體監控/全日系/10年保,MEG,1300,ATX,2,10990
255,微星,微星 MEG Ai1600T PCIE5 1600W 雙8/鈦金/全模組/ATX3.1/軟體監控/全日系/10年保,MEG,1600,ATX,2,23990
256,,↪ 4/1~6/30 微星 MEG Ai1600T PCIE5 1600W 電源,MEG,1600,ATX,0,
257,,曜越 Smart BX3 650W 雙8/銅牌/ATX3.1/DC-DC/智慧停轉/5年保,BX3,650,ATX,0,1790
258,,曜越 Smart BX3 750W 雙8/銅牌/ATX3.1/DC-DC/智慧停轉/5年保,BX3,750,ATX,0,1990
259,,曜越 Toughpower GF 750W 雙8/金牌/全模組/全日系/10年保,750W,750,ATX,2,2690
260,,曜越 Toughpower GF 850W 雙8/金牌/全模組/全日系/10年保,850W,850,ATX,2,2990
261,,曜越 Toughpower GF A3 650W 雙8/金牌/全模組/ATX3.0,650W,650,ATX,2,2590
262,,曜越 Toughpower GF A3 750W 雙8/金牌/全模組/ATX3.0,750W,750,ATX,2,3090
263,,曜越 Toughpower GF A3 850W 雙8/金牌/全模組/ATX3.0,850W,850,ATX,2,3490
264,,曜越 Toughpower GF3 1000W ATX3.0,GF3,1000,ATX,2,4690
265,,曜越 Toughpower GF3 1200W ATX3.0,GF3,1200,ATX,2,5690
266,,曜越 Toughpower GF3 1350W ATX3.0,GF3,1350,ATX,2,6690
267,,❤ 【立光代理】 NZXT 全系列電源供應器,NZXT,,ATX,0,
268,,NZXT C750,NZXT,750,ATX,0,2490
269,,NZXT C850,NZXT,850,ATX,2,4290
270,,NZXT C850,NZXT,850,ATX,2,4490
271,,NZXT C1000,NZXT,1000,ATX,2,5490
272,,NZXT C1000,NZXT,1000,ATX,2,5690
273,,NZXT C1200,NZXT,1200,ATX,2,7390
274,,NZXT C1200,NZXT,1200,ATX,2,7590
275,,NZXT C1500,NZXT,1500,ATX,2,12990
276,,保銳 Cyberbron II 700W /雙8/銅牌/直出扁線/主日系/5年,700W,700,ATX,0,1690
277,,保銳 Revolution D.F.12 850W 白色/雙8/金牌/全模/超短機身/ATX3.1,850W,850,ATX,2,3990
278,,九州風神 DEEPCOOL PK450D,DEEPCOOL,450,ATX,0,1190
279,,九州風神 DEEPCOOL PK550D,DEEPCOOL,550,ATX,0,1390
280,,九州風神 DEEPCOOL PK650D,DEEPCOOL,650,ATX,0,1590
281,,九州風神 DEEPCOOL PN650D,DEEPCOOL,650,ATX,0,2190
282,,九州風神 DEEPCOOL PN750D,DEEPCOOL,750,ATX,0,2490
283,,九州風神 DEEPCOOL PN850D,DEEPCOOL,850,ATX,0,2790
284,,九州風神DEEPCOOL PN650M,PN650M,650,ATX,2,2490
285,,九州風神DEEPCOOL PN750M,PN750M,750,ATX,2,2790
286,,九州DEEPCOOL PN850M,PN850M,850,ATX,2,3090
287,,九州DEEPCOOL PN850M WH,PN850M,850,ATX,2,3190
288,,BitFenix WHISPER 550W 金牌/全模組/全日系/10年保/DC-DC,WHISPER,550,ATX,2,1990
289,,BitFenix WHISPER 850W 雙8/金牌/全模組/全日系/10年保/DC-DC,WHISPER,850,ATX,2,2590
290,技嘉,技嘉 GP-P550B,GP-P550B,550,ATX,0,1690
291,技嘉,技嘉 GP-P650G,GP-P650G,650,ATX,0,2690
292,技嘉,技嘉 GP-UD750GM,GP-UD750GM,750,ATX,2,3190
293,技嘉,技嘉 GP-UD750GM PG5,GP-UD750GM,750,ATX,2,3490
294,技嘉,技嘉 GP-UD850GM PG5,GP-UD850GM,850,ATX,2,4590
295,技嘉,技嘉 GP-UD850GM PG5W,GP-UD850GM,850,ATX,2,4790
296,技嘉,技嘉 GP-UD1000GM PG5 2.0,GP-UD1000GM,1000,ATX,2,6490
297,技嘉,技嘉 GP-UD1300GM PG5,GP-UD1300GM,1300,ATX,2,6990
298,技嘉,技嘉 AORUS ELITE 1000W 雙8/白金/全模組/ATX3.0,AORUS,1000,ATX,2,6990
299,技嘉,技嘉 AORUS ELITE 1000W ICE,AORUS,1000,ATX,2,6490
300,,聯力 EDGE 850W 黑 雙8/白金/全模組/USB hub/ATX3.1,EDGE,850,ATX,2,4590
301,,聯力 EDGE 850W 白 雙8/白金/全模組/USB hub/ATX3.1,EDGE,850,ATX,2,4890
302,,聯力 EDGE 1000W 黑 雙8/白金/全模組/USB hub/ATX3.1,EDGE,1000,ATX,2,5890
303,,聯力 EDGE 1300W 黑 雙8/白金/全模組/USB hub/ATX3.1,EDGE,1300,ATX,2,7390
304,,darkFlash PMT750,PMT750,750,ATX,2,2990
305,,darkFlash PMT750,PMT750,750,ATX,2,3090
306,,darkFlash PMT850,PMT850,850,ATX,2,3290
307,,darkFlash PMT850,PMT850,850,ATX,2,3390
308,,利民 Thermalright SG-650,SG-650,650,ATX,2,2090
309,,利民 Thermalright SG-750,SG-750,750,ATX,2,2490
310,,利民 Thermalright SG-850,SG-850,850,ATX,2,2790
