,label,component
25,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華擎 H610M-ITX/eDP(Mini-ITX/Intel 1Gb+WiFi ac+BT5.1/三年保)6相電源.支援eDP, $3190 ◆ ★"
26,Intel H610 / 1700腳位(DDR4)-12~14代皆支援,"華擎 H610M-H2/M.2(M-ATX/LAN 1Gb/四年保)3+1+1 相電源, $1990 ◆ ★"
27,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 B760M-AYW WIFI D4 阿唷喂(M-ATX/LAN 2.5Gb+無線/註冊四年/2DIMM)8相, $3590 ◆ ★"
28,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U]華碩 B760M-AYW WIFI D4 阿唷喂(M-ATX/LAN 2.5Gb+無線/2DIMM)8相, $3190 ◆ ★"
29,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME B760M-F D4-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相【搭機價】, $2590 ◆ ★ ↓任搭100↓"
30,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME B760M-K D4-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相, $2990 ◆ ★"
31,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 華碩 PRIME B760M-K D4-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相, $2790 ◆ ★"
32,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME B760M-A D4-CSM(M-ATX/LAN 2.5Gb/註冊四年)8相供電, $3190 ◆ ★"
33,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME B760M-A WIFI D4-CSM(M-ATX/LAN 2.5Gb+無線/註冊四年)10相, $4090 ◆ ★"
34,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 華碩 PRIME B760M-A WIFI D4-CSM(M-ATX/LAN 2.5Gb+無線/註冊四年)10相, $3890 ◆ ★ 熱賣"
35,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 TUF GAMING B760M-E D4(M-ATX/LAN2.5Gb/註五年)10+1相電源, $3990 ◆ ★"
36,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 TUF GAMING B760M-PLUS WIFI D4(M-ATX/LAN 2.5Gb+無線/註五年)12+1相, $4990 ◆ ★"
37,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 華碩 TUF GAMING B760M-PLUS WIFI D4(M-ATX/LAN 2.5Gb+無線)12+1相, $4290 ◆ ★"
38,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華碩 TUF GAMING B760-PLUS WIFI D4(ATX/LAN 2.5Gb+無線/註五年)12+1相, $4990 ◆ ★"
39,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 華碩 TUF GAMING B760-PLUS WIFI D4(ATX/LAN 2.5Gb+無線)12+1相, $4390 ◆ ★ 熱賣"
40,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 B760M D DDR4(M-ATX/LAN 1Gb/註冊四年保/2DIMM)6+1+1相供電-尾盤, $2490 ◆ ★"
41,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 B760M H DDR4(M-ATX/LAN 1Gb/註冊四年保/2DIMM)6+1+1相供電, $2990 ◆ ★ ↓任搭100↓"
42,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 技嘉 B760M H DDR4(M-ATX/LAN 1Gb/註冊四年保/2DIMM)6+1+1相供電, $2690 ◆ ★"
43,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 B760M GAMING DDR4(M-ATX/LAN 2.5Gb/註冊五年保/2DIMM)6+2+1相供電, $3690 ◆ ★"
44,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 B760M DS3H AX DDR4(M-ATX/LAN 2.5Gb+無線)6+2+1相, $3990 ◆ ★ ↓任搭100↓"
45,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"[任搭U] 技嘉 B760M DS3H AX DDR4(M-ATX/LAN 2.5Gb+無線)6+2+1相, $3790 ◆ ★"
46,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760M-E DDR4(M-ATX/LAN 1Gb/註冊四年/2DIMM)6+1+1相供電, $2690↘$2590 ◆ ★"
47,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760M-B DDR4(M-ATX/LAN 2.5Gb/註冊四年/2DIMM)6+1相供電, $2790 ◆ ★"
48,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760M-P DDR4(M-ATX/LAN 1Gb/註冊四年/4DIMM)8相供電, $2990 ◆ ★"
49,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760M-A DDR4 II(M-ATX/LAN 2.5Gb/註冊四年)14相電源, $3590 ◆ ★ ↓任搭100↓"
50,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760M-A WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註冊四年)14相供電, $3890 ◆ ★"
51,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 B760M BOMBER DDR4(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相供電, $2790 ◆ ★ ↓任搭100↓"
52,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 B760M BOMBER WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)6+1+1相, $3190 ◆ ★"
53,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 B760M GAMING PLUS WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4890↘$4090 ◆ ★ ↓任搭100↓"
54,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760-P DDR4 II(ATX/LAN 2.5Gb/註冊四年)12+1+1相供電, $3690 ◆ ★ 熱賣"
55,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO B760-P WIFI DDR4(ATX/LAN 2.5Gb+Intel 無線/註冊四年)12+1+1相, $3990 ◆ ★"
56,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 B760 GAMING PLUS WIFI DDR4(ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4890↘$4290 ◆ ★ ↓任搭100↓"
57,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"微星 B760 TOMAHAWK WIFI DDR4(ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4990 ★"
58,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華擎 B760M-ITX/D4 WiFi(Mini-ITX/LAN 1Gb+無線/註冊四年)5+1+1相, $4490 ◆ ★"
59,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華擎 B760M-HDV/M.2 D4(M-ATX/LAN 1Gb/註冊四年)5+1+1相, $2790 ◆ ★"
60,Intel B760 / 1700腳位(DDR4)-12~14代皆支援,"華擎 B760M-HDV/M.2 D4(M-ATX/LAN 1Gb/註冊四年)5+1+1相【搭機價】, $2390 ◆ ★"
61,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 B760M-AYW WIFI 阿唷喂(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)8相-獨家, $3590 ◆ ★ 熱賣"
62,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U]華碩 B760M-AYW WIFI 阿唷喂(M-ATX/LAN 2.5Gb+無線/2DIMM)8相, $3190 ◆ ★"
63,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME B760M-F-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相, $2990 ◆ ★"
64,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME B760M-F-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相-裝機價, $2590 ◆ ★ ↓任搭100↓"
65,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME B760M-K-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相, $2990 ◆ ★ ↓任搭100↓"
66,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U] 華碩 PRIME B760M-K-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相, $2790 ◆ ★"
67,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME B760M-A-CSM(M-ATX/LAN 2.5Gb/註冊四年)8相供電, $3290 ◆ ★"
68,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME B760M-A WIFI-CSM(M-ATX/LAN 2.5Gb+無線/註四年)10相, $4490 ◆ ★"
69,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U] 華碩 PRIME B760M-A WIFI-CSM(M-ATX/LAN 2.5Gb+無線/註四年)10相, $3990 ◆ ★"
70,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 TUF GAMING B760M-PLUS WIFI II(M-ATX/LAN 2.5Gb+無線/註五年)12+1相, $4990 ◆ ★"
71,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U] 華碩 TUF GAMING B760M-PLUS WIFI II(M-ATX/LAN 2.5Gb+無線/註五年)12+1相, $4790 ◆ ★"
72,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 TUF GAMING B760M-BTF WIFI 背插(M-ATX/R2.5Gb+無線/註五年)12+1相, $4990 ◆ ★ 熱賣"
73,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,↪ [獨家閃亮過新年]背插主板限量送 XPG PRIME ARGB燈條[一組(二入)]價值NT.790
74,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 TUF GAMING B760-PLUS WIFI(ATX/LAN 2.5Gb+無線)12+1相, $4990 ◆ ★"
75,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U]華碩 TUF GAMING B760-PLUS WIFI(ATX/LAN 2.5Gb+無線)12+1相*優惠中, $4390 ◆ ★"
76,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ProArt B760-CREATOR WIFI(ATX/LAN 2.5Gb+Intel 1Gb+無線)12+1相, $7290 ◆ ★"
77,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG STRIX B760-I GAMING WIFI(Mini ITX/Intel 2.5Gb+無線/註五年)8+1相, $6590 ◆ ★"
78,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG STRIX B760-G GAMING WIFI(M-ATX/Intel 2.5Gb+無線/註五年)12+1相, $5290 ◆ ★"
79,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG STRIX B760-A GAMING WIFI(ATX/Intel 2.5Gb+無線/註五年)12+1相, $5990 ◆ ★"
80,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG STRIX B760-F GAMING WIFI(ATX/Intel 2.5Gb+無線/註冊五年)16+1相, $6490 ◆ ★ ↓任搭400↓"
81,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M E(M-ATX/GbE LAN/註冊四年保/2DIMM)6+1+1相, $2990 ◆ ★"
82,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M H(M-ATX/GbE LAN/註冊四年保/2DIMM)6+1+1相, $2990 ◆ ★ ↓任搭100↓"
83,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"[任搭U] 技嘉 B760M H(M-ATX/GbE LAN/註冊四年保/2DIMM)6+1+1相, $2690 ◆ ★ 熱賣"
84,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M GAMING WIFI PLUS(M-ATX/LAN 2.5Gb+無線/註五年/2DIMM)6+2+1相, $3790 ◆ ★ ↓任搭100↓"
85,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M DS3H(M-ATX/LAN 2.5Gb/註冊四年保)6+2+1相, $3990 ◆ ★"
86,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M DS3H AX(M-ATX/LAN 2.5Gb+無線/註冊四年保)6+2相, $4490 ◆ ★ ↓任搭100↓"
87,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M AORUS ELITE AX(M-ATX/LAN 2.5Gb+無線/註冊五年保)12+1+1相, $5490 ◆ ★ ↓任搭100↓"
88,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 B760M GAMING X AX(M-ATX/LAN 2.5Gb+無線/註五年)8+1+1相供電*獨家款, $4990 ◆ ★ 熱賣 ↓任搭190↓"
89,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760I EDGE WIFI(Mini ITX/LAN 2.5Gb+無線/2DIMM)8+1+1相電源, $4490 ◆ ★"
90,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 PRO B760M-E(M-ATX/LAN 1Gb/註冊四年/2DIMM)6+1+1相供電, $2690↘$2590 ◆ ★ ↓任搭100↓"
91,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 PRO B760M-B(M-ATX/LAN 2.5Gb/註冊四年/2DIMM)6+1相供電, $2790 ◆ ★"
92,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 PRO B760M-P(M-ATX/LAN 1Gb/註冊四年/4DIMM))8相供電, $3190↘$3090 ◆ ★"
93,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M BOMBER(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相供電, $2790 ◆ ★"
94,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M BOMBER WIFI(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)6+1+1相, $3090 ◆ ★"
95,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M GAMING WIFI(M-ATX/LAN 2.5Gb+無線/註五年/2DIMM)6+1相, $3890↘$3690 ◆ ★"
96,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M GAMING PLUS WIFI(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4090 ◆ ★ ↓任搭100↓"
97,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M MORTAR II(M-ATX/LAN 2.5Gb/註冊五年保)12+1+1相供電, $4500↘$4490 ◆ ★"
98,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"↪ [限量贈]買微星 B760M MORTAR II + 送 USB4 PD100W 擴充卡(市價NT$ 1,990)"
99,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M MORTAR WIFI II(M-ATX/LAN 2.5Gb+無線/註冊五年保)12+1+1相供電, $5300 ◆ ★"
100,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"↪ [限量贈]買微星 B760M MORTAR WIFI II + 送 USB4 PD100W 擴充卡(市價NT$ 1,990)"
101,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M PROJECT ZERO 背插(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4890 ◆ ★ 熱賣 ↓任搭100↓"
102,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760M EDGE TI WIFI(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $5990 ◆ ★ ↓任搭100↓"
103,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"微星 B760 GAMING PLUS WIFI(ATX/LAN 2.5Gb+無線/註五年)12+1+1相, $4890↘$4290 ◆ ★ ↓任搭200↓"
104,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華擎 B760I Lightning WiFi(Mini ITX/R 2.5Gb+無線/2DIMM)14+1+1相 送攜帶式行動電源, $6990 ◆ ★"
105,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華擎 B760M-HDV/M.2(M-ATX/LAN 2.5Gb/註冊四年)7+1+1相, $2390 ◆ ★"
106,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華擎 B760M PG LIGHTNING(M-ATX/LAN 2.5Gb/註冊五年)7+1+1 相供電, $3890 ◆ ★"
107,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華擎 B760M Steel Legend WiFi(M-ATX/LAN 2.5Gb+無線)12+1+1相.支援eDP, $3490 ◆ ★"
108,Intel B760 / 1700腳位(DDR5)-12~14代皆支援,"華擎 B760 Pro RS(ATX/LAN 2.5Gb/註冊四年)10+1+1相.支援eDP, $4490 ◆ ★"
109,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"華碩 PRIME Z790-P D4-CSM(ATX/LAN2.5Gb/註冊四年)14+1相電源, $5490 ◆ ★ ↓任搭500↓"
110,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"[任搭CPU] 華碩 PRIME Z790-P D4-CSM (專案！限與K版U同發票), $4290 ◆ ★ 熱賣"
111,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"華碩 ROG STRIX Z790-A GAMING WIFI D4(ATX/Intel 2.5Gb+無線/註五年)16+1相, $6990 ◆ ★"
112,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"[任搭CPU] 華碩 ROG STRIX Z790-A GAMING WIFI D4(與K版U同發票,省1000), $5990 ◆ ★"
113,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"技嘉 Z790 S WIFI DDR4(ATX/LAN2.5Gb+無線/註四年)10相供電, $5990 ◆ ★"
114,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"[任搭CPU] 技嘉 Z790 S WIFI DDR4(ATX/LAN2.5Gb+無線/註四年)10相供電, $4490 ◆ ★ 熱賣"
115,Intel Z790 / 1700腳位(DDR4)-12~14代皆支援,"微星 PRO Z790-P WIFI DDR4(ATX/Intel 2.5Gb+無線/註冊四年)14+1+1相電源, $4690 ◆ ★"
116,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"NZXT N7 Z790(黑)(ATX/LAN2.5Gb+無線/五年換新)16+1+2相電源, $10900 ◆ ★"
117,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"NZXT N7 Z790(白)(ATX/LAN2.5Gb+無線/五年換新)16+1+2相電源, $10900 ◆ ★"
118,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"[任搭CPU] 華碩 Z790-AYW WIFI W 阿唷喂(ATX/LAN2.5Gb+無線/銀白底板)獨家 12+1+1相, $5590 ◆ ★ 熱賣"
119,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華碩 PRIME Z790-P WIFI-CSM(ATX/LAN2.5Gb+無線/註冊四年)14+1相電源, $6490↘$5490 ◆ ★"
120,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華碩 TUF GAMING Z790-PLUS WIFI(ATX/Intel 2.5Gb+無線/註五年)16+1相, $7490 ◆ ★"
121,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ProArt Z790-CREATOR WIFI(ATX/M10G+Intel 2.5Gb+無線)16+1相電源, $13990 ◆ ★ ↓任搭100↓"
122,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG STRIX Z790-A GAMING WIFI II(ATX/Intel 2.5Gb+Wi-Fi 7/註五年)16+1+2相, $11990 ◆ ★ ↓任搭100↓"
123,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華碩 ROG MAXIMUS Z790 HERO BTF 背插(ATX/Intel 2.5Gb+Wi-Fi 7/註五年)20+1+2相, $21790 ◆ ★"
124,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,↪ [送殼]買華碩 ROG MAXIMUS Z790 HERO BTF 加送 GR701 創世神-BTF(市價$14990)
125,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 Z790 EAGLE AX(ATX/LAN2.5Gb+無線/註冊四年)12+1+1相電源, $6990 ◆ ★ ↓任搭100↓"
126,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"[任搭CPU] 技嘉 Z790 EAGLE AX (限與K版CPU同發票,省1500), $5490 ★"
127,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"技嘉 Z790 AORUS MASTER X(E-ATX/Marvell 10G+Wi-Fi 7/註冊五年)20+1+2相電源, $19990 ◆ ★ ↓任搭300↓"
128,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"微星 PRO Z790-P WIFI(ATX/Intel 2.5Gb+無線/註冊四年)14+1+1相電源, $5290 ★"
129,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"微星 MPG Z790 CARBON WIFI II(ATX/Intel 2.5Gb+Wi-Fi 7/註五年)19+1+1相, $15890 ◆ ★ ↓任搭300↓"
130,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"↪ [限量贈]買微星 Z790 CARBON WIFI II + 送 USB4 PD100W 擴充卡(市價NT$ 1,990)"
131,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華擎 Z790I Lightning WiFi(Mini-ITX/R2.5Gb+無線/2DIMM)14+1+1相 *售完為止, $8390 ◆ ★"
132,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華擎 Z790 Steel Legend WiFi(ATX/LAN2.5Gb+無線/註五年)16+1+1相.支援eDP, $7190 ◆ ★"
133,Intel Z790 / 1700腳位(DDR5)-12~14代皆支援,"華擎 Z790 Riptide WIFI(ATX/Killer2.5G+Wi-Fi 7)16+1+1相.支援eDP *售完為止, $5790 ◆ ★"
134,Intel H810 / 1851腳位(DDR5),"華擎 H810M-X(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+1+1+1 相供電, $3590 ◆ ★"
135,Intel B860 / 1851腳位(DDR5),"華碩 ROG STRIX B860-I GAMING WIFI(Mini-ITX/Intel 2.5Gb+Wi-Fi 7/註五年)10+1+2+1相, $7590 ◆ ★ ↓任搭100↓"
136,Intel B860 / 1851腳位(DDR5),"華碩 B860M AYW GAMING WIFI(M-ATX/LAN2.5Gb+無線/註五年/2DIMM)6+1+1+1相, $3990 ◆ ★ ↓任搭100↓"
137,Intel B860 / 1851腳位(DDR5),"[任搭U]華碩 B860M AYW GAMING WIFI(M-ATX/LAN2.5Gb+無線/2DIMM)6+1+1+1相, $3690 ◆ ★ 熱賣"
138,Intel B860 / 1851腳位(DDR5),"華碩 PRIME B860M-K-CSM(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+1+1相, $2990 ◆ ★"
139,Intel B860 / 1851腳位(DDR5),"華碩 PRIME B860M-A-CSM(M-ATX/LAN2.5Gb/註四年)7+1+1+1相, $3990 ◆ ★"
140,Intel B860 / 1851腳位(DDR5),"[任搭U]華碩 PRIME B860M-A-CSM(M-ATX/LAN2.5Gb/註四年)7+1+1+1相, $3690 ◆ ★"
