,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
107,23,Intel i5-14600KF,46,AMD A10-9630P,"2,946",2708,nan
108,23,Intel i5-14600KF,60,AMD A4-1350 APU,911,4122,nan
109,23,Intel i5-14600KF,146,AMD A8-5500 APU,"2,619",2869,44.42
110,23,Intel i5-14600KF,460,AMD EPYC 4245P,"31,255",384,130.77
111,23,Intel i5-14600KF,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
112,23,Intel i5-14600KF,1460,Apple A18 Pro,"12,911",1173,nan
113,23,Intel i5-14600KF,4600,MT6768G,"2,838",2759,nan
114,25,Intel i5-14600K,0,AArch64,833,4213,nan
115,25,Intel i5-14600K,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
116,25,Intel i5-14600K,4,AC8259V/WAB,910,4124,nan
117,25,Intel i5-14600K,5,Allwinner A133,668,4413,nan
118,25,Intel i5-14600K,6,Allwinner A523,"1,906",3297,nan
119,25,Intel i5-14600K,14,AMD 4700S,"17,756",899,nan
120,25,Intel i5-14600K,46,AMD A10-9630P,"2,946",2708,nan
121,25,Intel i5-14600K,60,AMD A4-1350 APU,911,4122,nan
122,25,Intel i5-14600K,146,AMD A8-5500 APU,"2,619",2869,44.42
123,25,Intel i5-14600K,460,AMD EPYC 4245P,"31,255",384,130.77
124,25,Intel i5-14600K,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
125,25,Intel i5-14600K,1460,Apple A18 Pro,"12,911",1173,nan
126,25,Intel i5-14600K,4600,MT6768G,"2,838",2759,nan
127,27,Intel i7-14700F,0,AArch64,833,4213,nan
128,27,Intel i7-14700F,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
129,27,Intel i7-14700F,4,AC8259V/WAB,910,4124,nan
130,27,Intel i7-14700F,7,Allwinner A527,"2,297",3053,nan
131,27,Intel i7-14700F,14,AMD 4700S,"17,756",899,nan
132,27,Intel i7-14700F,47,AMD A10-9700,"3,556",2451,26.3
133,27,Intel i7-14700F,70,AMD A4-4020 APU,"1,269",3756,12.05
134,27,Intel i7-14700F,147,AMD A8-5500B APU,"2,588",2881,52.77
135,27,Intel i7-14700F,470,AMD EPYC 7251,"14,935",1033,15.49
136,27,Intel i7-14700F,700,AMD Opteron 285,956,4077,38.3
137,27,Intel i7-14700F,1470,Apple M2 8 Core 3500 MHz,"15,650",1002,nan
138,27,Intel i7-14700F,4700,QTI MSM8937,"2,142",3152,nan
139,28,Intel i7-14700,0,AArch64,833,4213,nan
140,28,Intel i7-14700,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
141,28,Intel i7-14700,4,AC8259V/WAB,910,4124,nan
142,28,Intel i7-14700,7,Allwinner A527,"2,297",3053,nan
143,28,Intel i7-14700,14,AMD 4700S,"17,756",899,nan
144,28,Intel i7-14700,47,AMD A10-9700,"3,556",2451,26.3
145,28,Intel i7-14700,70,AMD A4-4020 APU,"1,269",3756,12.05
146,28,Intel i7-14700,147,AMD A8-5500B APU,"2,588",2881,52.77
147,28,Intel i7-14700,470,AMD EPYC 7251,"14,935",1033,15.49
148,28,Intel i7-14700,700,AMD Opteron 285,956,4077,38.3
149,28,Intel i7-14700,1470,Apple M2 8 Core 3500 MHz,"15,650",1002,nan
150,28,Intel i7-14700,4700,QTI MSM8937,"2,142",3152,nan
151,29,Intel i7-14700KF,0,AArch64,833,4213,nan
152,29,Intel i7-14700KF,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
153,29,Intel i7-14700KF,4,AC8259V/WAB,910,4124,nan
154,29,Intel i7-14700KF,7,Allwinner A527,"2,297",3053,nan
155,29,Intel i7-14700KF,14,AMD 4700S,"17,756",899,nan
156,29,Intel i7-14700KF,47,AMD A10-9700,"3,556",2451,26.3
157,29,Intel i7-14700KF,70,AMD A4-4020 APU,"1,269",3756,12.05
158,29,Intel i7-14700KF,147,AMD A8-5500B APU,"2,588",2881,52.77
159,29,Intel i7-14700KF,470,AMD EPYC 7251,"14,935",1033,15.49
160,29,Intel i7-14700KF,700,AMD Opteron 285,956,4077,38.3
161,29,Intel i7-14700KF,1470,Apple M2 8 Core 3500 MHz,"15,650",1002,nan
162,29,Intel i7-14700KF,4700,QTI MSM8937,"2,142",3152,nan
163,31,Intel i7-14700K,0,AArch64,833,4213,nan
164,31,Intel i7-14700K,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
165,31,Intel i7-14700K,4,AC8259V/WAB,910,4124,nan
166,31,Intel i7-14700K,7,Allwinner A527,"2,297",3053,nan
167,31,Intel i7-14700K,14,AMD 4700S,"17,756",899,nan
168,31,Intel i7-14700K,47,AMD A10-9700,"3,556",2451,26.3
169,31,Intel i7-14700K,70,AMD A4-4020 APU,"1,269",3756,12.05
170,31,Intel i7-14700K,147,AMD A8-5500B APU,"2,588",2881,52.77
171,31,Intel i7-14700K,470,AMD EPYC 7251,"14,935",1033,15.49
172,31,Intel i7-14700K,700,AMD Opteron 285,956,4077,38.3
